code;name;registered_voters;envelopes;valid_votes;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
589942;Ptení;2;2;100,00;135;0;0;1;5;49;114;0;26;6;4;0;3;1;1;17;0;2;6;53;8;38;51;0;0
589951;Raková u Konice;1;1;100,00;30;0;0;0;2;16;19;0;5;0;0;0;0;0;0;5;1;0;1;11;1;10;0;0;0
589969;Rakůvka;1;1;100,00;17;0;0;0;0;8;2;0;1;0;1;0;0;0;0;0;2;0;0;13;2;4;11;0;0
589977;Rozstání;2;2;100,00;94;0;1;0;0;28;35;0;24;0;7;0;0;0;1;6;0;5;6;43;5;19;16;0;0
506770;Seloutky;1;1;100,00;87;0;0;0;0;33;30;0;34;0;2;0;0;0;0;6;0;3;3;32;9;29;19;0;0
589993;Skalka;1;1;100,00;31;0;0;0;0;20;17;0;7;1;1;0;0;0;0;7;0;1;1;20;4;14;7;0;0
590002;Skřípov;1;1;100,00;36;0;0;0;0;43;12;0;4;0;2;0;0;0;0;1;0;1;2;19;1;12;11;0;0
590011;Slatinky;1;1;100,00;87;0;0;0;0;30;27;0;32;0;0;1;0;0;0;16;0;2;7;29;23;44;15;0;0
590029;Smržice;1;1;100,00;263;0;0;0;3;45;68;2;92;6;7;0;0;4;1;20;1;2;4;107;32;66;62;1;0
590045;Srbce;1;1;100,00;7;0;0;0;0;11;0;0;2;0;0;0;0;0;0;6;0;3;0;8;1;0;1;0;0
590053;Stařechovice;2;2;100,00;82;0;0;0;1;30;13;0;23;1;1;0;0;1;3;17;0;6;1;52;9;11;26;0;1
590061;Stínava;1;1;100,00;11;0;0;0;0;7;22;0;3;0;0;0;1;0;0;1;0;0;0;13;3;5;7;0;0
590070;Stražisko;1;1;100,00;83;0;0;0;0;25;30;0;3;0;1;0;0;0;0;4;0;2;1;34;2;14;20;0;1
590088;Suchdol;3;3;100,00;71;0;0;0;1;25;100;0;18;1;1;2;1;3;0;12;0;3;3;38;4;31;41;1;0
590096;Šubířov;1;1;100,00;37;0;0;0;0;14;7;1;6;0;1;0;0;0;0;6;0;1;2;11;2;12;9;0;0
590100;Tištín;1;1;100,00;63;2;0;0;1;15;14;0;6;1;0;0;0;0;0;17;2;4;5;43;3;6;32;0;1
590118;Tvorovice;1;1;100,00;38;0;0;0;3;22;18;0;9;1;1;0;0;0;0;14;3;0;1;24;1;8;9;0;0
590126;Určice;2;2;100,00;158;0;5;1;4;69;35;1;68;6;5;1;0;0;0;29;5;11;18;110;12;38;35;0;0
590134;Víceměřice;1;1;100,00;56;0;0;0;4;19;13;0;11;3;2;0;1;0;0;3;1;1;1;33;5;18;33;0;0
590142;Vícov;1;1;100,00;69;1;0;0;3;24;40;0;17;0;4;1;0;0;0;5;1;3;4;41;6;20;11;0;0
544710;Vincencov;1;1;100,00;15;0;0;0;0;5;17;0;3;0;0;0;0;0;1;5;0;1;1;15;3;9;5;0;0
590151;Vitčice;1;1;100,00;33;0;1;0;0;5;6;0;6;0;2;0;0;0;1;3;0;0;0;15;0;6;5;0;1
590177;Vranovice-Kelčice;2;2;100,00;135;0;0;0;0;22;43;0;23;0;0;0;1;0;0;7;0;5;1;43;6;14;17;0;1
590185;Vrbátky;3;3;100,00;287;4;1;0;5;85;79;1;68;2;6;1;0;1;1;31;5;11;7;119;14;68;60;0;1
590193;Vrchoslavice;1;1;100,00;87;1;0;2;1;31;15;0;17;4;1;0;0;1;2;16;0;3;3;49;4;18;20;0;0
590207;Vřesovice;1;1;100,00;61;0;0;0;1;41;69;0;15;0;0;0;0;1;2;8;0;1;3;40;8;14;16;0;0
590215;Výšovice;1;1;100,00;69;1;2;0;1;25;21;1;28;1;1;0;1;1;0;2;0;3;3;41;16;21;25;0;0
590223;Zdětín;1;1;100,00;53;1;0;0;2;16;18;0;6;0;0;0;0;0;1;13;1;0;1;38;2;21;21;0;0
590240;Želeč;1;1;100,00;67;2;0;0;1;49;28;0;21;0;7;0;0;0;0;17;0;2;3;47;2;17;15;0;0
